,lat,lon,capacity
5,43.6,-72.82,100.44158363341727
1,45.04,-70.36,98.00618626353076
0,45.58,-69.4,97.07686904049628
10,43.3,-72.94,100.94102324090753
2,45.94,-68.92,96.4525285779051
7,44.02,-71.8,99.73774511710089
3,45.4,-70.6,97.38760364444308
4,45.46,-70.12,97.28413208933576
13,43.0,-73.06,101.43769549688356
8,44.56,-70.96,98.82494025941658
9,45.04,-70.3,98.00618626353076
6,45.94,-68.98,96.4525285779051
11,45.22,-70.84,97.697377071235
12,44.92,-72.52,98.21152186707225
32,42.64,-73.18,102.03003013334164
14,44.8,-71.32,98.41642666646042
17,44.68,-71.38,98.6208997628818
18,44.56,-72.76,98.82494025941658
16,45.16,-70.84,97.80042075653913
21,44.44,-72.82,99.02854726104258
24,44.32,-72.88,99.23171987463905
15,45.46,-70.6,97.28413208933576
28,44.14,-71.62,99.53566236846707
20,44.98,-71.2,98.10890785957096
49,43.06,-73.0,101.33858308849857
33,44.2,-71.56,99.43445720899078
31,44.26,-71.32,99.33314300734692
19,45.46,-70.42,97.28413208933576
36,44.14,-72.94,99.53566236846707
35,44.2,-71.5,99.43445720899078
34,44.44,-71.38,99.02854726104258
58,42.82,-73.06,101.73436485409758
95,41.56,-70.0,103.78277345517903
61,42.94,-73.06,101.53669666630272
23,45.52,-69.1,97.18055385015805
51,43.66,-71.92,100.34136483333775
27,45.22,-71.08,97.697377071235
22,45.76,-70.18,96.76517632622233
39,44.62,-70.9,98.72297414211843
64,43.24,-72.1,101.04057951704777
70,43.12,-73.0,101.23935954983672
67,43.24,-72.94,101.04057951704777
83,42.76,-73.0,101.83303165570568
37,45.1,-71.08,97.90335719159853
25,45.76,-70.24,96.76517632622233
56,44.02,-72.94,99.73774511710089
71,43.36,-72.88,100.8413562704639
77,43.12,-72.94,101.23935954983672
53,44.2,-72.34,99.43445720899078
43,44.92,-70.54,98.21152186707225
44,44.8,-70.72,98.41642666646042
45,44.8,-70.78,98.41642666646042
40,45.22,-70.72,97.697377071235
60,43.96,-71.44,99.83862248464965
29,45.76,-70.36,96.76517632622233
92,42.82,-72.94,101.73436485409758
30,45.76,-69.46,96.76517632622233
93,42.88,-73.0,101.63558648818903
38,45.46,-70.66,97.28413208933576
94,42.88,-72.1,101.63558648818903
41,45.4,-70.54,97.38760364444308
50,44.92,-71.8,98.21152186707225
68,44.02,-71.86,99.73774511710089
69,44.02,-72.88,99.73774511710089
122,42.04,-73.48,103.0082919974671
52,44.86,-70.6,98.31402817350568
26,46.42,-68.92,95.61415569012674
119,42.22,-73.24,102.71599466407012
55,44.86,-70.66,98.31402817350568
74,44.08,-71.44,99.63675837479187
76,44.08,-71.5,99.63675837479187
48,45.46,-69.7,97.28413208933576
118,42.7,-73.0,101.93158678481298
75,44.2,-72.94,99.43445720899078
42,46.06,-68.86,96.24356769464542
65,44.8,-70.54,98.41642666646042
66,44.68,-70.84,98.6208997628818
89,43.9,-71.5,99.93939036681375
47,45.76,-70.3,96.76517632622233
63,44.98,-70.3,98.10890785957096
59,45.28,-70.72,97.5942262486863
57,45.46,-70.48,97.28413208933576
84,44.32,-71.14,99.23171987463905
88,44.2,-71.44,99.43445720899078
99,43.84,-71.98,100.04004865308866
114,43.3,-72.04,100.94102324090753
72,44.92,-71.62,98.21152186707225
105,43.66,-72.82,100.34136483333775
46,46.12,-69.76,96.13892888125432
62,45.34,-70.6,97.49096840201068
117,43.36,-72.76,100.8413562704639
73,45.04,-70.72,98.00618626353076
121,43.36,-71.86,100.8413562704639
54,46.06,-68.92,96.24356769464542
82,44.98,-70.36,98.10890785957096
81,45.1,-71.14,97.90335719159853
109,44.02,-71.5,99.73774511710089
155,42.52,-73.06,102.22658105696449
96,44.68,-71.8,98.6208997628818
98,44.62,-70.84,98.72297414211843
87,44.98,-72.52,98.10890785957096
137,43.18,-72.7,101.14002498970893
80,45.34,-70.96,97.49096840201068
146,43.0,-72.1,101.43769549688356
127,43.6,-71.86,100.44158363341727
135,43.42,-72.76,100.7415787150141
78,45.52,-70.12,97.18055385015805
113,44.32,-71.26,99.23171987463905
211,41.32,-70.0,104.16728612186971
162,42.64,-73.3,102.03003013334164
144,43.3,-73.06,100.94102324090753
102,44.8,-72.52,98.41642666646042
128,43.84,-72.04,100.04004865308866
219,41.5,-70.72,103.87907260165564
79,45.82,-70.36,96.66106637282321
161,43.06,-72.94,101.33858308849857
126,44.2,-71.38,99.43445720899078
115,44.74,-70.78,98.5187172336439
90,45.64,-69.28,96.97307777405368
120,44.56,-72.16,98.82494025941658
242,41.38,-70.48,104.07132904041742
249,41.26,-70.12,104.26312897102275
101,45.28,-69.76,97.5942262486863
103,45.22,-69.88,97.697377071235
173,42.94,-72.94,101.53669666630272
108,45.04,-70.42,98.00618626353076
130,44.2,-71.32,99.43445720899078
167,43.18,-73.12,101.14002498970893
142,43.96,-71.56,99.83862248464965
125,44.5,-71.38,98.92679800295784
158,43.54,-72.76,100.54169228689071
91,45.94,-70.12,96.4525285779051
86,46.0,-69.94,96.34810096507358
189,42.88,-71.86,101.63558648818903
222,42.1,-73.48,102.9109723719818
111,45.22,-70.78,97.697377071235
124,44.8,-71.38,98.41642666646042
85,46.18,-69.76,96.03418463964964
209,42.34,-73.18,102.52056639316672
263,41.32,-70.78,104.16728612186971
131,44.5,-71.02,98.92679800295784
110,45.46,-70.54,97.28413208933576
97,46.0,-69.88,96.34810096507358
281,41.26,-70.0,104.26312897102275
207,42.64,-73.06,102.03003013334164
214,42.58,-73.0,102.12836159333634
226,42.4,-73.06,102.422683564405
140,44.56,-71.44,98.82494025941658
257,41.92,-70.06,103.20259225788168
165,43.96,-71.38,99.83862248464965
170,43.96,-72.94,99.83862248464965
129,45.04,-70.24,98.00618626353076
296,41.26,-70.06,104.26312897102275
159,44.26,-72.88,99.33314300734692
210,43.0,-72.88,101.43769549688356
218,42.94,-72.88,101.53669666630272
174,43.9,-72.94,99.93939036681375
166,44.14,-71.68,99.53566236846707
287,41.68,-70.0,103.58983383605387
136,45.1,-70.12,97.90335719159853
264,42.1,-73.18,102.9109723719818
156,44.5,-72.82,98.92679800295784
106,46.12,-69.82,96.13892888125432
186,43.84,-72.94,100.04004865308866
116,45.94,-68.86,96.4525285779051
153,44.74,-70.72,98.5187172336439
198,43.48,-72.22,100.6416906839765
141,45.16,-70.24,97.80042075653913
244,42.88,-73.06,101.63558648818903
316,41.38,-70.72,104.07132904041742
145,45.16,-70.3,97.80042075653913
133,45.46,-70.06,97.28413208933576
277,42.28,-73.12,102.61833679546086
134,45.46,-70.18,97.28413208933576
112,46.42,-68.02,95.61415569012674
148,45.22,-70.9,97.697377071235
157,44.98,-70.9,98.10890785957096
100,46.78,-68.98,94.98096899922359
160,44.92,-71.14,98.21152186707225
163,44.86,-71.86,98.31402817350568
251,43.0,-72.82,101.43769549688356
104,46.72,-68.98,95.08676118637491
302,41.98,-70.06,103.10549866163342
317,41.86,-73.24,103.29957267973674
188,44.5,-67.54,98.92679800295784
318,41.86,-70.0,103.29957267973674
132,45.94,-69.1,96.4525285779051
150,45.52,-70.0,97.18055385015805
107,46.84,-68.92,94.87507265370476
176,44.8,-72.7,98.41642666646042
212,43.96,-71.26,99.83862248464965
256,43.18,-72.1,101.14002498970893
258,43.18,-72.94,101.14002498970893
123,46.42,-69.64,95.61415569012674
177,44.92,-71.2,98.21152186707225
266,43.12,-72.1,101.23935954983672
168,45.28,-70.66,97.5942262486863
206,44.32,-71.32,99.23171987463905
200,44.44,-70.96,99.02854726104258
138,46.12,-68.44,96.13892888125432
175,45.16,-69.64,97.80042075653913
179,45.1,-70.66,97.90335719159853
308,42.52,-73.12,102.22658105696449
383,41.38,-71.5,104.07132904041742
147,46.0,-68.98,96.34810096507358
360,41.74,-70.18,103.49319357498746
295,42.88,-72.94,101.63558648818903
313,42.52,-73.3,102.22658105696449
282,43.24,-72.04,101.04057951704777
213,44.44,-72.58,99.02854726104258
390,41.44,-70.66,103.97525783189475
240,44.08,-71.74,99.63675837479187
377,41.68,-70.72,103.58983383605387
250,43.9,-72.88,99.93939036681375
372,41.74,-70.0,103.49319357498746
293,43.06,-73.06,101.33858308849857
178,45.34,-70.78,97.49096840201068
152,46.06,-69.94,96.24356769464542
183,45.28,-70.78,97.5942262486863
399,41.38,-70.54,104.07132904041742
365,41.92,-70.0,103.20259225788168
260,43.78,-72.94,100.1405972330902
327,42.46,-73.06,102.32468841651634
190,45.22,-71.14,97.697377071235
284,43.48,-71.98,100.6416906839765
187,45.4,-70.48,97.38760364444308
243,44.26,-71.26,99.33314300734692
328,42.58,-73.06,102.12836159333634
322,42.76,-71.92,101.83303165570568
333,42.52,-71.92,102.22658105696449
354,42.28,-71.92,102.61833679546086
288,43.54,-72.58,100.54169228689071
352,42.34,-73.12,102.52056639316672
254,44.14,-71.74,99.53566236846707
241,44.44,-71.08,99.02854726104258
349,42.4,-73.18,102.422683564405
185,45.58,-70.66,97.07686904049628
154,46.3,-69.7,95.82438033137504
139,46.72,-69.04,95.08676118637491
220,44.86,-72.52,98.31402817350568
196,45.22,-71.2,97.697377071235
164,46.12,-70.18,96.13892888125432
245,44.5,-70.96,98.92679800295784
364,42.4,-73.0,102.422683564405
172,46.0,-70.0,96.34810096507358
143,46.78,-68.92,94.98096899922359
181,45.82,-69.94,96.66106637282321
414,41.68,-70.06,103.58983383605387
359,42.58,-70.66,102.12836159333634
169,46.18,-70.12,96.03418463964964
344,42.76,-73.12,101.83303165570568
239,44.8,-71.5,98.41642666646042
363,42.64,-70.6,102.03003013334164
397,42.16,-73.0,102.81353989190058
221,45.22,-69.64,97.697377071235
199,45.58,-70.12,97.07686904049628
192,45.88,-70.24,96.55685041862225
407,42.1,-73.0,102.9109723719818
300,43.78,-72.88,100.1405972330902
394,42.4,-71.92,102.422683564405
202,45.64,-69.1,96.97307777405368
267,44.5,-67.6,98.92679800295784
385,42.64,-71.86,102.03003013334164
424,41.92,-70.54,103.20259225788168
149,47.02,-68.86,94.55675982879795
351,43.0,-72.04,101.43769549688356
215,45.52,-69.28,97.18055385015805
376,42.82,-71.86,101.73436485409758
216,45.52,-69.16,97.18055385015805
182,46.24,-70.06,95.92933508469636
298,44.08,-68.62,99.63675837479187
273,44.56,-72.7,98.82494025941658
445,41.74,-70.06,103.49319357498746
151,47.14,-68.8,94.34403261908379
204,45.76,-69.4,96.76517632622233
448,41.74,-70.48,103.49319357498746
269,44.68,-70.54,98.6208997628818
171,46.6,-68.8,95.29803262163256
235,45.34,-70.54,97.49096840201068
458,41.68,-70.66,103.58983383605387
299,44.14,-72.76,99.53566236846707
468,41.56,-70.48,103.78277345517903
340,43.36,-72.82,100.8413562704639
467,41.62,-72.94,103.6863604980689
435,42.04,-73.18,103.0082919974671
227,45.52,-69.22,97.18055385015805
453,41.8,-70.0,103.3964398208476
184,46.48,-69.7,95.50888603273708
248,45.28,-71.08,97.5942262486863
475,41.68,-70.78,103.58983383605387
285,44.62,-72.76,98.72297414211843
286,44.62,-67.3,98.72297414211843
197,46.12,-70.24,96.13892888125432
469,41.74,-70.42,103.49319357498746
404,42.7,-71.86,101.93158678481298
452,41.98,-73.24,103.10549866163342
201,46.12,-70.12,96.13892888125432
506,41.38,-71.56,104.07132904041742
274,44.92,-71.74,98.21152186707225
232,45.7,-70.42,96.86918016465016
208,46.06,-70.24,96.24356769464542
262,45.16,-71.08,97.80042075653913
412,42.7,-71.92,101.93158678481298
348,43.66,-72.64,100.34136483333775
311,44.32,-68.26,99.23171987463905
194,46.42,-68.86,95.61415569012674
195,46.36,-69.7,95.71932049478144
345,43.72,-72.76,100.24103599655442
224,45.94,-70.18,96.4525285779051
230,45.88,-68.92,96.55685041862225
315,44.32,-68.2,99.23171987463905
447,42.34,-71.92,102.52056639316672
498,41.74,-70.12,103.49319357498746
499,41.74,-73.36,103.49319357498746
280,45.1,-70.84,97.90335719159853
217,46.18,-68.5,96.03418463964964
489,41.92,-73.24,103.20259225788168
236,45.94,-69.04,96.4525285779051
392,43.42,-72.88,100.7415787150141
503,41.86,-70.54,103.29957267973674
223,46.18,-69.7,96.03418463964964
191,46.84,-69.04,94.87507265370476
304,44.74,-71.38,98.5187172336439
321,44.44,-71.26,99.02854726104258
337,44.14,-68.62,99.53566236846707
180,47.08,-68.8,94.45044801223372
234,46.06,-69.88,96.24356769464542
482,42.22,-72.94,102.71599466407012
272,45.4,-68.02,97.38760364444308
331,44.26,-71.14,99.33314300734692
229,46.18,-70.06,96.03418463964964
461,42.46,-71.86,102.32468841651634
479,42.28,-73.06,102.61833679546086
464,42.46,-73.0,102.32468841651634
418,43.12,-72.16,101.23935954983672
253,45.76,-69.52,96.76517632622233
237,46.12,-68.86,96.13892888125432
306,44.86,-71.26,98.31402817350568
270,45.52,-70.18,97.18055385015805
309,44.8,-67.0,98.41642666646042
542,41.56,-71.62,103.78277345517903
417,43.18,-72.16,101.14002498970893
491,42.22,-73.0,102.71599466407012
205,46.6,-69.22,95.29803262163256
231,46.24,-70.0,95.92933508469636
446,42.76,-71.86,101.83303165570568
504,42.1,-73.42,102.9109723719818
319,44.68,-70.3,98.6208997628818
521,41.92,-72.88,103.20259225788168
193,47.08,-68.74,94.45044801223372
537,41.74,-70.54,103.49319357498746
441,42.94,-73.12,101.53669666630272
544,41.68,-70.24,103.58983383605387
369,44.14,-68.44,99.53566236846707
301,45.1,-70.6,97.90335719159853
233,46.36,-69.1,95.71932049478144
259,45.94,-70.06,96.4525285779051
379,44.02,-71.56,99.73774511710089
238,46.36,-69.76,95.71932049478144
297,45.28,-70.12,97.5942262486863
483,42.58,-72.88,102.12836159333634
335,44.56,-72.82,98.82494025941658
520,42.1,-70.66,102.9109723719818
538,41.92,-73.12,103.20259225788168
290,45.52,-70.06,97.18055385015805
421,43.48,-72.76,100.6416906839765
384,44.14,-68.68,99.53566236846707
523,42.16,-73.18,102.81353989190058
342,44.56,-70.9,98.82494025941658
501,42.52,-72.82,102.22658105696449
567,41.68,-70.12,103.58983383605387
261,46.12,-68.5,96.13892888125432
292,45.58,-69.22,97.07686904049628
357,44.5,-72.22,98.92679800295784
454,43.12,-72.88,101.23935954983672
246,46.42,-69.7,95.61415569012674
329,44.92,-70.48,98.21152186707225
203,47.08,-68.86,94.45044801223372
484,42.82,-73.0,101.73436485409758
228,46.78,-69.04,94.98096899922359
420,43.72,-72.88,100.24103599655442
516,42.52,-73.0,102.22658105696449
623,41.38,-70.6,104.07132904041742
341,44.8,-70.6,98.41642666646042
275,46.06,-68.8,96.24356769464542
599,41.68,-70.3,103.58983383605387
252,46.42,-69.58,95.61415569012674
586,41.8,-73.3,103.3964398208476
225,46.96,-68.5,94.66296795219245
609,41.68,-71.68,103.58983383605387
564,42.04,-72.22,103.0082919974671
633,41.44,-71.44,103.97525783189475
565,42.04,-73.12,103.0082919974671
370,44.68,-67.18,98.6208997628818
305,45.58,-70.0,97.07686904049628
612,41.68,-70.18,103.58983383605387
487,43.0,-71.86,101.43769549688356
339,44.98,-70.48,98.10890785957096
312,45.46,-67.72,97.28413208933576
247,46.66,-69.04,95.19244909914451
629,41.56,-70.6,103.78277345517903
255,46.48,-69.04,95.50888603273708
508,42.82,-73.12,101.73436485409758
389,44.5,-67.72,98.92679800295784
411,44.08,-72.94,99.63675837479187
533,42.58,-70.72,102.12836159333634
594,41.92,-70.6,103.20259225788168
347,44.98,-71.26,98.10890785957096
587,41.98,-73.18,103.10549866163342
393,44.5,-72.16,98.92679800295784
460,43.54,-72.16,100.54169228689071
402,44.38,-72.22,99.13018792209014
647,41.5,-73.0,103.87907260165564
350,45.04,-70.66,98.00618626353076
576,42.22,-73.06,102.71599466407012
375,44.86,-71.32,98.31402817350568
472,43.48,-72.04,100.6416906839765
320,45.58,-69.88,97.07686904049628
548,42.58,-73.18,102.12836159333634
415,44.2,-72.28,99.43445720899078
276,46.42,-69.82,95.61415569012674
386,44.74,-70.3,98.5187172336439
408,44.38,-71.08,99.13018792209014
279,46.42,-68.08,95.61415569012674
265,46.6,-69.04,95.29803262163256
388,44.8,-71.44,98.41642666646042
271,46.54,-69.52,95.40351163805369
444,43.9,-73.0,99.93939036681375
391,44.74,-70.54,98.5187172336439
593,42.22,-73.12,102.71599466407012
442,43.96,-72.34,9.120121218002808
