lat,lon,capacity
41.26,-72.88,104.26312786102295
41.26,-72.7,104.26312786102295
41.26,-70.12,104.26312786102295
41.26,-70.06,104.26312786102295
41.26,-70.0,104.26312786102295
41.32,-73.36,104.1672804977417
41.32,-72.16,104.1672804977417
41.32,-72.1,104.1672804977417
41.32,-72.04,104.1672804977417
41.32,-70.78,104.1672804977417
41.32,-70.0,104.1672804977417
41.38,-73.36,104.07132616195679
41.38,-72.04,104.07132616195679
41.38,-71.98,104.07132616195679
41.38,-71.92,104.07132616195679
41.38,-71.86,104.07132616195679
41.38,-71.8,104.07132616195679
41.38,-71.74,104.07132616195679
41.38,-71.68,104.07132616195679
41.38,-71.62,104.07132616195679
41.38,-71.56,104.07132616195679
41.38,-71.5,104.07132616195679
41.38,-70.72,104.07132616195679
41.38,-70.66,104.07132616195679
41.38,-70.6,104.07132616195679
41.38,-70.54,104.07132616195679
41.38,-70.48,104.07132616195679
41.44,-72.58,103.97525296783448
41.44,-71.92,103.97525296783448
41.44,-71.86,103.97525296783448
41.44,-71.8,103.97525296783448
41.44,-71.74,103.97525296783448
41.44,-71.68,80.58203609705603
41.44,-71.62,103.97525296783448
41.44,-71.56,103.97525296783448
41.44,-71.5,103.97525296783448
41.44,-71.44,103.97525296783448
41.44,-70.66,103.97525296783448
41.5,-73.0,103.8790728012085
41.5,-71.92,103.8790728012085
41.5,-71.86,103.8790728012085
41.5,-71.8,103.8790728012085
41.5,-71.68,103.8790728012085
41.5,-71.62,103.8790728012085
41.5,-71.14,103.8790728012085
41.5,-70.72,103.8790728012085
41.56,-71.8,103.78277377624512
41.56,-71.68,103.78277377624512
41.56,-71.62,103.78277377624512
41.56,-70.96,103.78277377624512
41.56,-70.0,103.78277377624512
41.62,-73.0,103.68635589294433
41.62,-71.86,103.68635589294433
41.62,-71.68,103.68635589294433
41.68,-72.52,103.5898310371399
41.68,-71.86,103.5898310371399
41.68,-71.74,103.5898310371399
41.68,-70.78,103.5898310371399
41.68,-70.72,103.5898310371399
41.68,-70.66,103.5898310371399
41.74,-73.42,103.4931992088318
41.74,-73.36,103.4931992088318
41.74,-72.46,103.4931992088318
41.74,-71.86,103.4931992088318
41.74,-71.8,103.4931992088318
41.74,-71.74,103.4931992088318
41.74,-70.42,103.4931992088318
41.74,-70.18,103.4931992088318
41.8,-73.48,103.39643663635255
41.8,-73.42,103.39643663635255
41.8,-73.36,103.39643663635255
41.8,-73.3,103.39643663635255
41.8,-73.24,103.39643663635255
41.8,-72.46,103.39643663635255
41.8,-72.1,103.39643663635255
41.8,-71.8,103.39643663635255
41.86,-73.42,103.29956709136964
41.86,-73.3,103.29956709136964
41.86,-73.24,103.29956709136964
41.86,-72.46,103.29956709136964
41.86,-72.4,103.29956709136964
41.86,-72.28,103.29956709136964
41.86,-72.04,103.29956709136964
41.86,-71.8,103.29956709136964
41.86,-70.54,103.29956709136964
41.92,-73.3,103.20259057388306
41.92,-73.24,103.20259057388306
41.92,-72.88,103.20259057388306
41.92,-72.4,103.20259057388306
41.92,-72.28,103.20259057388306
41.92,-72.22,103.20259057388306
41.92,-70.54,103.20259057388306
41.92,-70.06,103.20259057388306
41.98,-73.48,103.10549519805909
41.98,-73.3,103.10549519805909
41.98,-73.24,103.10549519805909
41.98,-73.18,103.10549519805909
41.98,-72.4,103.10549519805909
41.98,-72.22,103.10549519805909
42.04,-73.48,103.00829284973145
42.04,-73.18,103.00829284973145
42.04,-72.28,103.00829284973145
42.04,-72.22,103.00829284973145
42.04,-71.8,103.00829284973145
42.1,-73.48,102.9109716430664
42.1,-73.42,102.9109716430664
42.1,-73.18,102.9109716430664
42.1,-72.28,102.9109716430664
42.1,-72.22,102.9109716430664
42.1,-71.98,102.9109716430664
42.1,-70.66,102.9109716430664
42.16,-73.18,102.81354346389772
42.16,-72.22,102.81354346389772
42.16,-71.98,102.81354346389772
42.22,-73.3,102.71599642639161
42.22,-73.24,102.71599642639161
42.22,-72.22,102.71599642639161
42.22,-71.98,102.71599642639161
42.28,-73.18,102.61834241638184
42.28,-72.1,102.61834241638184
42.28,-71.98,102.61834241638184
42.28,-71.92,102.61834241638184
42.28,-70.9,102.61834241638184
42.34,-73.18,102.52056954803467
42.34,-72.4,102.52056954803467
42.34,-71.98,102.52056954803467
42.4,-73.18,102.4226778213501
42.4,-73.06,102.4226778213501
42.4,-72.16,102.4226778213501
42.4,-71.98,102.4226778213501
42.46,-73.06,102.32469100799561
42.46,-72.82,102.32469100799561
42.46,-72.76,102.32469100799561
42.46,-71.92,102.32469100799561
42.52,-73.12,102.22658533630371
42.52,-73.06,102.22658533630371
42.58,-73.06,102.12836080627442
42.58,-70.66,102.12836080627442
42.64,-73.18,102.03002930374146
42.64,-73.06,102.03002930374146
42.64,-70.6,102.03002930374146
42.7,-73.0,101.93159082870484
42.7,-72.58,101.93159082870484
42.7,-72.52,101.93159082870484
42.76,-73.0,101.83303349533081
42.76,-72.22,101.83303349533081
42.82,-73.06,101.73436918945313
42.82,-72.94,101.73436918945313
42.82,-72.46,101.73436918945313
42.88,-73.0,101.63558602523804
42.94,-73.06,101.53669588851929
42.94,-72.94,101.53669588851929
43.0,-73.06,101.43769877929688
43.06,-73.0,101.33858281173707
43.06,-72.58,101.33858281173707
43.12,-72.7,101.23935987167359
43.12,-72.64,101.23935987167359
43.18,-72.76,101.14002995910644
43.18,-72.7,101.14002995910644
43.24,-72.1,101.04058118820191
43.3,-72.94,100.94102544479371
43.3,-72.7,100.94102544479371
43.3,-72.04,100.94102544479371
43.36,-72.88,100.8413508430481
43.36,-72.76,100.8413508430481
43.42,-72.76,100.74158115463257
43.42,-72.46,100.74158115463257
43.42,-72.28,100.74158115463257
43.48,-72.22,100.64169260787965
43.48,-72.04,100.64169260787965
43.48,-71.98,100.64169260787965
43.54,-72.58,100.54169708862305
43.54,-72.22,91.14567563342743
43.54,-72.16,100.54169708862305
43.6,-73.42,100.44158271102906
43.6,-72.82,100.44158271102906
43.6,-72.04,100.44158271102906
43.66,-73.36,100.3413613609314
43.66,-73.24,100.3413613609314
43.66,-71.92,100.3413613609314
43.72,-73.36,100.24103303833009
43.72,-73.3,100.24103303833009
43.72,-73.12,100.24103303833009
43.72,-72.22,100.24103303833009
43.72,-72.16,100.24103303833009
43.72,-70.0,100.24103303833009
43.78,-73.3,77.14570632611857
43.78,-72.1,100.1405977432251
43.78,-72.04,100.1405977432251
43.84,-72.1,100.04004358978271
43.84,-72.04,100.04004358978271
43.84,-71.98,100.04004358978271
43.84,-69.58,100.04004358978271
43.9,-73.3,99.93939434967041
43.9,-71.98,99.93939434967041
43.9,-69.52,99.93939434967041
43.96,-73.36,99.8386262512207
43.96,-73.3,99.8386262512207
43.96,-72.04,99.8386262512207
43.96,-71.98,99.8386262512207
43.96,-71.92,99.8386262512207
43.96,-69.52,99.8386262512207
43.96,-69.46,99.8386262512207
43.96,-69.34,99.8386262512207
43.96,-69.22,99.8386262512207
44.019999999999996,-73.3,99.7377392944336
44.019999999999996,-71.98,99.7377392944336
44.019999999999996,-71.92,99.7377392944336
44.019999999999996,-71.86,99.7377392944336
44.019999999999996,-69.34,99.7377392944336
44.019999999999996,-69.28,99.7377392944336
44.019999999999996,-69.22,99.7377392944336
44.019999999999996,-69.16,99.7377392944336
44.08,-69.34,99.63675725097657
44.08,-69.16,99.63675725097657
44.08,-69.1,99.63675725097657
44.08,-69.04,99.63675725097657
44.08,-68.86,99.63675725097657
44.08,-68.62,99.63675725097657
44.14,-69.16,99.535662292099
44.14,-69.1,99.535662292099
44.14,-68.92,99.535662292099
44.14,-68.8,99.535662292099
44.14,-68.68,99.535662292099
44.14,-68.62,99.535662292099
44.14,-68.44,99.535662292099
44.2,-73.36,99.43445441780091
44.2,-73.3,99.43445441780091
44.2,-72.34,99.43445441780091
44.2,-70.42,99.43445441780091
44.2,-69.22,99.43445441780091
44.2,-69.16,99.43445441780091
44.2,-68.68,99.43445441780091
44.2,-68.32,99.43445441780091
44.26,-73.3,99.33314551391602
44.26,-69.22,99.33314551391602
44.26,-68.92,99.33314551391602
44.26,-68.86,99.33314551391602
44.26,-68.68,99.33314551391602
44.26,-68.56,99.33314551391602
44.26,-68.38,99.33314551391602
44.26,-68.26,99.33314551391602
44.32,-73.3,99.23171775169374
44.32,-68.98,99.23171775169374
44.32,-68.68,99.23171775169374
44.32,-68.62,99.23171775169374
44.32,-68.38,99.23171775169374
44.32,-68.32,99.23171775169374
44.32,-68.26,99.23171775169374
44.32,-68.2,99.23171775169374
44.44,-71.14,99.02854725265503
44.44,-71.08,99.02854725265503
44.44,-67.9,99.02854725265503
44.5,-69.22,98.92679857292175
44.5,-67.72,98.92679857292175
44.5,-67.6,98.92679857292175
44.5,-67.54,98.92679857292175
44.56,-67.72,98.82494292068482
44.56,-67.66,98.82494292068482
44.56,-67.6,98.82494292068482
44.62,-69.22,98.72297435302735
44.62,-67.48,98.72297435302735
44.62,-67.42,98.72297435302735
44.62,-67.3,98.72297435302735
44.68,-67.42,98.62089881286622
44.68,-67.3,98.62089881286622
44.68,-67.24,98.62089881286622
44.68,-67.18,98.62089881286622
44.74,-67.48,98.51871630020142
44.74,-67.36,98.51871630020142
44.74,-67.3,98.51871630020142
44.74,-67.24,98.51871630020142
44.74,-67.18,98.51871630020142
44.74,-67.12,98.51871630020142
44.8,-67.36,98.41642681503296
44.8,-67.3,98.41642681503296
44.8,-67.24,98.41642681503296
44.8,-67.18,98.41642681503296
44.8,-67.12,98.41642681503296
44.8,-67.06,98.41642681503296
44.8,-67.0,98.41642681503296
44.86,-67.36,98.31403035736085
44.86,-67.3,98.31403035736085
44.86,-67.24,98.31403035736085
44.86,-67.06,98.31403035736085
44.92,-70.54,98.21152098426819
44.92,-67.36,98.21152098426819
44.92,-67.18,98.21152098426819
44.98,-67.48,98.10891058158875
44.98,-67.3,98.10891058158875
44.98,-67.18,98.10891058158875
44.98,-67.12,98.10891058158875
44.98,-67.06,98.10891058158875
45.04,-67.48,98.00618726348877
45.04,-67.3,98.00618726348877
45.04,-67.24,98.00618726348877
45.04,-67.18,98.00618726348877
45.22,-71.08,97.69737547416688
45.34,-70.6,97.49096608543397
45.4,-70.6,97.38760093231201
45.4,-70.54,97.38760093231201
45.4,-69.34,97.38760093231201
45.4,-68.08,97.38760093231201
45.46,-70.6,97.28413474960328
45.46,-70.54,97.28413474960328
45.46,-70.48,97.28413474960328
45.46,-70.18,97.28413474960328
45.46,-70.12,97.28413474960328
45.46,-67.72,97.28413474960328
45.519999999999996,-69.28,97.18055565147401
45.519999999999996,-68.02,97.18055565147401
45.519999999999996,-67.6,97.18055565147401
45.58,-67.78,97.07686958084106
45.58,-67.72,97.07686958084106
45.58,-67.66,97.07686958084106
45.64,-67.78,96.97307653770447
45.7,-70.42,37.98583686583604
45.76,-70.36,96.76517547683716
45.76,-70.3,96.76517547683716
45.76,-70.24,96.76517547683716
45.76,-69.46,96.76517547683716
45.88,-69.04,96.55685246887208
45.94,-70.18,96.45253050613404
45.94,-70.12,96.45253050613404
45.94,-68.92,96.45253050613404
45.94,-67.96,96.45253050613404
45.94,-67.84,96.45253050613404
46.0,-70.0,96.34810157089234
46.0,-69.94,96.34810157089234
46.0,-69.88,96.34810157089234
46.0,-68.08,96.34810157089234
46.06,-70.24,96.24356566314698
46.06,-69.94,40.76154400074286
46.06,-68.92,96.24356566314698
46.06,-68.86,96.24356566314698
46.06,-68.14,96.24356566314698
46.12,-70.24,96.13892872581482
46.12,-70.18,96.13892872581482
46.12,-70.12,96.13892872581482
46.12,-69.82,96.13892872581482
46.12,-69.76,96.13892872581482
46.12,-68.86,96.13892872581482
46.12,-68.5,96.13892872581482
46.12,-68.26,96.13892872581482
46.18,-70.24,96.034184815979
46.18,-70.12,96.034184815979
46.18,-70.06,96.034184815979
46.18,-68.5,96.034184815979
46.18,-68.26,96.034184815979
46.18,-68.2,96.034184815979
46.18,-68.14,96.034184815979
46.18,-68.08,96.034184815979
46.24,-70.12,95.92933393363953
46.24,-70.06,95.92933393363953
46.24,-70.0,95.92933393363953
46.24,-68.5,95.92933393363953
46.24,-68.44,95.92933393363953
46.24,-68.38,95.92933393363953
46.24,-68.32,95.92933393363953
46.24,-68.26,95.92933393363953
46.24,-68.08,95.92933393363953
46.24,-68.02,95.92933393363953
46.3,-70.0,95.82438202171326
46.3,-69.7,95.82438202171326
46.3,-69.64,95.82438202171326
46.3,-68.5,95.82438202171326
46.3,-68.44,95.82438202171326
46.3,-68.38,95.82438202171326
46.3,-68.32,95.82438202171326
46.3,-68.14,95.82438202171326
46.3,-68.08,95.82438202171326
46.36,-69.76,95.71932313728333
46.36,-69.7,95.71932313728333
46.36,-69.64,95.71932313728333
46.36,-68.44,95.71932313728333
46.36,-68.38,95.71932313728333
46.36,-68.14,95.71932313728333
46.36,-68.08,95.71932313728333
46.36,-68.02,95.71932313728333
46.42,-70.0,95.61415728034973
46.42,-69.82,95.61415728034973
46.42,-69.76,95.61415728034973
46.42,-69.7,95.61415728034973
46.42,-69.64,95.61415728034973
46.42,-69.58,95.61415728034973
46.42,-68.92,95.61415728034973
46.42,-68.38,95.61415728034973
46.42,-68.26,95.61415728034973
46.42,-68.2,95.61415728034973
46.42,-68.14,95.61415728034973
46.42,-68.08,95.61415728034973
46.42,-68.02,95.61415728034973
46.42,-67.96,95.61415728034973
46.48,-69.7,95.50888445091248
46.48,-68.74,95.50888445091248
46.48,-68.14,95.50888445091248
46.48,-68.08,95.50888445091248
46.48,-68.02,95.50888445091248
46.48,-67.96,95.50888445091248
46.54,-69.76,95.40351059188843
46.54,-69.7,95.40351059188843
46.54,-69.52,95.40351059188843
46.54,-68.2,95.40351059188843
46.54,-68.14,95.40351059188843
46.54,-67.84,95.40351059188843
46.6,-68.8,95.29802976036072
46.6,-68.68,95.29802976036072
46.6,-68.62,95.29802976036072
46.6,-68.56,95.29802976036072
46.6,-68.2,95.29802976036072
46.6,-67.9,95.29802976036072
46.6,-67.84,95.29802976036072
46.66,-68.68,95.19244789924622
46.66,-68.62,95.19244789924622
46.66,-68.56,95.19244789924622
46.66,-67.96,95.19244789924622
46.66,-67.9,95.19244789924622
46.66,-67.84,95.19244789924622
46.72,-68.98,95.08675906562806
46.72,-68.68,95.08675906562806
46.72,-68.62,95.08675906562806
46.72,-67.9,95.08675906562806
46.78,-69.88,94.9809692024231
46.78,-69.52,94.9809692024231
46.78,-69.46,94.9809692024231
46.78,-68.98,94.9809692024231
46.78,-68.92,94.9809692024231
46.78,-68.86,45.567370859977956
46.84,-69.82,94.87507236671448
46.84,-68.92,94.87507236671448
46.84,-68.86,94.87507236671448
46.9,-69.34,94.76907450141907
46.9,-68.86,94.76907450141907
46.9,-68.8,94.76907450141907
46.96,-69.34,94.66296966362
46.96,-69.28,94.66296966362
46.96,-68.92,94.66296966362
46.96,-68.86,94.66296966362
46.96,-68.8,94.66296966362
46.96,-68.74,94.66296966362
46.96,-68.5,94.66296966362
46.96,-67.9,94.66296966362
46.96,-67.84,94.66296966362
47.019999999999996,-69.64,94.55675785331727
47.019999999999996,-69.58,94.55675785331727
47.019999999999996,-69.52,94.55675785331727
47.019999999999996,-69.46,94.55675785331727
47.019999999999996,-69.16,94.55675785331727
47.019999999999996,-68.86,94.55675785331727
47.019999999999996,-68.8,94.55675785331727
47.019999999999996,-68.74,94.55675785331727
47.019999999999996,-67.96,94.55675785331727
47.019999999999996,-67.9,94.55675785331727
47.019999999999996,-67.84,94.55675785331727
47.08,-69.58,94.45045095634461
47.08,-69.52,94.45045095634461
47.08,-69.46,94.45045095634461
47.08,-68.86,94.45045095634461
47.08,-68.8,94.45045095634461
47.08,-68.74,94.45045095634461
47.08,-68.68,94.45045095634461
47.08,-68.62,94.45045095634461
47.08,-68.08,94.45045095634461
47.08,-68.02,94.45045095634461
47.14,-69.22,94.34403114395143
47.14,-69.16,94.34403114395143
47.14,-68.86,94.34403114395143
47.14,-68.8,94.34403114395143
47.14,-68.74,94.34403114395143
47.14,-68.02,94.34403114395143
47.2,-69.46,94.23751624488831
47.2,-68.68,94.23751624488831
47.2,-68.44,94.23751624488831
47.2,-68.14,49.743977378479215
47.26,-68.5,94.13089437332154
47.32,-68.32,94.0241655292511
47.38,-69.28,93.91733565559387
